Public Name,LC Classification Code,Availability,Title,Subjects,Classification Code,ISBN,Author,Network Number,Publication Date,Edition,Publisher,Series,MMS Id,Originating System ID
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GF,Available,"Metabolism of the anthroposphere analysis, evaluation, design /",Human ecology--Methodology.; Urban ecology (Biology); Urbanization.; City planning.; Metabolism.; Environmental monitoring.; Environmental engineering.; Environmental protection--Planning.; Electronic books.,GF,1280499168; 9781280499166; 9786613594396; 6613594393; 0262301326; 9780262301329; 0262016656; 9780262016650,"Baccini, P.",(MiAaPQ)EBC3339389; (PQKB)11386187; (PQKBWorkID)10595554; (PQKBTitleCode)TC599541; (PQKBTitleCode)TC0000599541; (PQKBManifestationID)11384995; (SSID)ssj599541; (SSID)ssj0000599541; (OCoLC)778447370; (EBL)3339389; (CKB)2550000000087268,c2012.,2nd ed.,MIT Press,,9982753763502771,992550000000087268
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GN,Available,Transient workspaces : technologies of everyday innovation in Zimbabwe /,Material culture--Africa.; Subsistence hunting--Africa.; Economic anthropology--Africa.; Electronic books.,GN,0262326159; 9780262326155; 1322151326; 9781322151328; 0262027240; 9780262027243,"Mavhunga, Clapperton Chakanetsa, 1972- author.",(MiAaPQ)EBC3339866; (StDuBDS)EDZ1052087; (StDuBDS)EDZ0001052087; (PQKB)11243328; (PQKBWorkID)11371279; (PQKBTitleCode)TC1348426; (PQKBTitleCode)TC0001348426; (PQKBManifestationID)12547409; (SSID)ssj1348426; (SSID)ssj0001348426; (CaPaEBR)ebrary10938263; (OCoLC)893685647; (CKB)3710000000244185,2014.,,The MIT Press,,9982799779602771,993710000000244185
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,Beyond choices : the design of ethical gameplay /,Video games--Moral and ethical aspects.; Video games--Philosophy.; Electronic books.,GV,0262317125; 9780262317122; 0262019787; 9780262019781; 1299848400; 9781299848405,"Sicart, Miguel, 1978-",(MiAaPQ)EBC3339668; (PQKB)11705059; (PQKBWorkID)11012136; (PQKBTitleCode)TC984207; (PQKBTitleCode)TC0000984207; (PQKBManifestationID)11543040; (SSID)ssj984207; (SSID)ssj0000984207; (EBL)3339668; (CKB)2550000001115756,[2013],,MIT Press,,9982754578902771,992550000001115756
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,Chess metaphors artificial intelligence and the human mind /,Chess--Psychological aspects.; Board games--Psychological aspects.; Electronic books.,GV,128269474X; 9781282694743; 9786612694745; 6612694742; 026225915X; 9780262259156; 0262517493; 9780262517492; 026218267X; 9780262182676,"Rasskin-Gutman, Diego.",(MiAaPQ)EBC3339050; (PQKB)10123520; (PQKBWorkID)10092826; (PQKBTitleCode)TC120706; (PQKBTitleCode)TC0000120706; (PQKBManifestationID)11128699; (SSID)ssj120706; (SSID)ssj0000120706; (EBL)3339050; (CKB)1000000000806052,c2009.,,MIT Press,,9982716536602771,991000000000806052
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,Codename revolution the Nintendo WII platform /,Video games--Social aspects.; Nintendo Wii video games.; Electronic books.,GV,128049932X; 9781280499326; 9786613594556; 6613594555; 0262301318; 9780262301312; 026201680X; 9780262016803,"Jones, Steven E., 1959-",(MiAaPQ)EBC3339398; (PQKB)11016330; (PQKBWorkID)10614850; (PQKBTitleCode)TC650389; (PQKBTitleCode)TC0000650389; (PQKBManifestationID)11401989; (SSID)ssj650389; (SSID)ssj0000650389; (EBL)3339398; (CKB)2670000000151569,2012.,,MIT Press,Platform Studies,9982748244002771,992670000000151569
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,Debugging game history : a critical lexicon /,Video games--History.; Video games--Terminology.; Electronic books.,GV,0262331942; 9780262331944; 0262034190; 9780262034197,,(MiAaPQ)EBC4698613; (CKB)3710000000892335,2016.,,The MIT Press,Game histories.,9983024796702771,(CKB)3710000000892335
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,Effective cycling,Cycling.; Bicycles--Maintenance and repair.; Electronic books.,GV,1280498897; 9781280498893; 9786613594129; 6613594121; 0262301482; 9780262301480; 0262516942; 9780262516945,"Forester, John, 1929-",(MiAaPQ)EBC3339431; (PQKB)11528177; (PQKBWorkID)10683061; (PQKBTitleCode)TC645606; (PQKBTitleCode)TC0000645606; (PQKBManifestationID)11446472; (SSID)ssj645606; (SSID)ssj0000645606; (EBL)3339431; (CKB)2670000000185651,c2012.,7th ed.,MIT Press,,9982750422202771,992670000000185651
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,I am error : the Nintendo family computer/entertainment system platform /,Nintendo of America Inc.; Video games--Design.; Nintendo video games.; Electronic books.,GV,0262328399; 9780262328395,"Altice, Nathan, author.",(IEEE)7109418; (IDAMS)b00006483f6f1cd; (IDAMS)0b00006483f6f1cd; (CaBNVSL)mat7109418; (CaBNVSL)mat07109418; (CKB)2670000000613808,[2015],,IEEE Xplore; MIT Press,Platform studies.,9982747817802771,992670000000613808
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,Korea's online gaming empire,Internet games--Social aspects--Korea (South); Internet games--Economic aspects--Korea (South); Video games industry--Korea (South)--History.; Electronic books.,GV,1282899228; 9781282899223; 9786612899225; 6612899220; 0262289512; 9780262289511; 0262014769; 9780262014762,"Jin, Dal Yong, 1964-","(MiAaPQ)EBC3339182; (StDuBDS)EDZ130714; (StDuBDS)EDZ0000130714; (PQKB)10484744; (PQKBWorkID)10452140; (PQKBTitleCode)TC438700; (PQKBTitleCode)TC0000438700; (PQKBManifestationID)11280560; (SSID)ssj438700; (SSID)ssj0000438700; (CaPaEBR)ebrary10433725; (OCoLC)699488891  Suppressed, to be deleted; (CKB)2560000000054285",c2010.,,MIT Press,,9982702929302771,992560000000054285
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,The ethics of computer games,Video games--Moral and ethical aspects.; Video games--Philosophy.; Electronic books.,GV,1282240145; 9781282240148; 9786612240140; 6612240148; 0262255138; 9780262255134; 0262012650; 9780262012652,"Sicart, Miguel, 1978-",(MiAaPQ)EBC3339020; (StDuBDS)EDZ130713; (StDuBDS)EDZ0000130713; (PQKB)10738867; (PQKBWorkID)10239676; (PQKBTitleCode)TC149970; (PQKBTitleCode)TC0000149970; (PQKBManifestationID)11155594; (SSID)ssj149970; (SSID)ssj0000149970; (CaPaEBR)ebrary10290033; (OCoLC)405036321; (CKB)2420000000001099,c2009.,,MIT Press,,9982715033902771,992420000000001099
